season,round,url,raceName,Circuit,date
2002,1,https://en.wikipedia.org/wiki/2002_Australian_Grand_Prix,Australian Grand Prix,"{'circuitId': 'albert_park', 'url': 'https://en.wikipedia.org/wiki/Albert_Park_Circuit', 'circuitName': 'Albert Park Grand Prix Circuit', 'Location': {'lat': '-37.8497', 'long': '144.968', 'locality': 'Melbourne', 'country': 'Australia'}}",2002-03-03
2002,2,https://en.wikipedia.org/wiki/2002_Malaysian_Grand_Prix,Malaysian Grand Prix,"{'circuitId': 'sepang', 'url': 'https://en.wikipedia.org/wiki/Sepang_International_Circuit', 'circuitName': 'Sepang International Circuit', 'Location': {'lat': '2.76083', 'long': '101.738', 'locality': 'Kuala Lumpur', 'country': 'Malaysia'}}",2002-03-17
2002,3,https://en.wikipedia.org/wiki/2002_Brazilian_Grand_Prix,Brazilian Grand Prix,"{'circuitId': 'interlagos', 'url': 'https://en.wikipedia.org/wiki/Interlagos_Circuit', 'circuitName': 'Autódromo José Carlos Pace', 'Location': {'lat': '-23.7036', 'long': '-46.69969999999999', 'locality': 'São Paulo', 'country': 'Brazil'}}",2002-03-31
2002,4,https://en.wikipedia.org/wiki/2002_San_Marino_Grand_Prix,San Marino Grand Prix,"{'circuitId': 'imola', 'url': 'https://en.wikipedia.org/wiki/Imola_Circuit', 'circuitName': 'Autodromo Enzo e Dino Ferrari', 'Location': {'lat': '44.343899999999984', 'long': '11.7167', 'locality': 'Imola', 'country': 'Italy'}}",2002-04-14
2002,5,https://en.wikipedia.org/wiki/2002_Spanish_Grand_Prix,Spanish Grand Prix,"{'circuitId': 'catalunya', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya', 'circuitName': 'Circuit de Barcelona-Catalunya', 'Location': {'lat': '41.57', 'long': '2.26111', 'locality': 'Montmeló', 'country': 'Spain'}}",2002-04-28
2002,6,https://en.wikipedia.org/wiki/2002_Austrian_Grand_Prix,Austrian Grand Prix,"{'circuitId': 'red_bull_ring', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Ring', 'circuitName': 'Red Bull Ring', 'Location': {'lat': '47.2197', 'long': '14.7647', 'locality': 'Spielberg', 'country': 'Austria'}}",2002-05-12
2002,7,https://en.wikipedia.org/wiki/2002_Monaco_Grand_Prix,Monaco Grand Prix,"{'circuitId': 'monaco', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Monaco', 'circuitName': 'Circuit de Monaco', 'Location': {'lat': '43.7347', 'long': '7.42056', 'locality': 'Monte-Carlo', 'country': 'Monaco'}}",2002-05-26
2002,8,https://en.wikipedia.org/wiki/2002_Canadian_Grand_Prix,Canadian Grand Prix,"{'circuitId': 'villeneuve', 'url': 'https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve', 'circuitName': 'Circuit Gilles Villeneuve', 'Location': {'lat': '45.5', 'long': '-73.5228', 'locality': 'Montreal', 'country': 'Canada'}}",2002-06-09
2002,9,https://en.wikipedia.org/wiki/2002_European_Grand_Prix,European Grand Prix,"{'circuitId': 'nurburgring', 'url': 'https://en.wikipedia.org/wiki/N%C3%BCrburgring', 'circuitName': 'Nürburgring', 'Location': {'lat': '50.3356', 'long': '6.9475', 'locality': 'Nürburg', 'country': 'Germany'}}",2002-06-23
2002,10,https://en.wikipedia.org/wiki/2002_British_Grand_Prix,British Grand Prix,"{'circuitId': 'silverstone', 'url': 'https://en.wikipedia.org/wiki/Silverstone_Circuit', 'circuitName': 'Silverstone Circuit', 'Location': {'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}}",2002-07-07
2002,11,https://en.wikipedia.org/wiki/2002_French_Grand_Prix,French Grand Prix,"{'circuitId': 'magny_cours', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours', 'circuitName': 'Circuit de Nevers Magny-Cours', 'Location': {'lat': '46.8642', 'long': '3.16361', 'locality': 'Magny Cours', 'country': 'France'}}",2002-07-21
2002,12,https://en.wikipedia.org/wiki/2002_German_Grand_Prix,German Grand Prix,"{'circuitId': 'hockenheimring', 'url': 'https://en.wikipedia.org/wiki/Hockenheimring', 'circuitName': 'Hockenheimring', 'Location': {'lat': '49.3278', 'long': '8.56583', 'locality': 'Hockenheim', 'country': 'Germany'}}",2002-07-28
2002,13,https://en.wikipedia.org/wiki/2002_Hungarian_Grand_Prix,Hungarian Grand Prix,"{'circuitId': 'hungaroring', 'url': 'https://en.wikipedia.org/wiki/Hungaroring', 'circuitName': 'Hungaroring', 'Location': {'lat': '47.5789', 'long': '19.2486', 'locality': 'Budapest', 'country': 'Hungary'}}",2002-08-18
2002,14,https://en.wikipedia.org/wiki/2002_Belgian_Grand_Prix,Belgian Grand Prix,"{'circuitId': 'spa', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps', 'circuitName': 'Circuit de Spa-Francorchamps', 'Location': {'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}}",2002-09-01
2002,15,https://en.wikipedia.org/wiki/2002_Italian_Grand_Prix,Italian Grand Prix,"{'circuitId': 'monza', 'url': 'https://en.wikipedia.org/wiki/Monza_Circuit', 'circuitName': 'Autodromo Nazionale di Monza', 'Location': {'lat': '45.615599999999986', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}}",2002-09-15
2002,16,https://en.wikipedia.org/wiki/2002_United_States_Grand_Prix,United States Grand Prix,"{'circuitId': 'indianapolis', 'url': 'https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway', 'circuitName': 'Indianapolis Motor Speedway', 'Location': {'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}}",2002-09-29
2002,17,https://en.wikipedia.org/wiki/2002_Japanese_Grand_Prix,Japanese Grand Prix,"{'circuitId': 'suzuka', 'url': 'https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course', 'circuitName': 'Suzuka Circuit', 'Location': {'lat': '34.843100000000014', 'long': '136.541', 'locality': 'Suzuka', 'country': 'Japan'}}",2002-10-13
