constructorId,url,name,nationality
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
racing_point,http://en.wikipedia.org/wiki/Racing_Point_F1_Team,Racing Point,British
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
