constructorId,url,name,nationality
caterham,http://en.wikipedia.org/wiki/Caterham_F1,Caterham,Malaysian
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
hrt,http://en.wikipedia.org/wiki/Hispania_Racing,HRT,Spanish
lotus_f1,http://en.wikipedia.org/wiki/Lotus_F1,Lotus F1,British
marussia,http://en.wikipedia.org/wiki/Marussia_F1,Marussia,Russian
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
